0,1,2,3
0,0,321,286
1,460,1,111
2,2,259,791
3,366,3,203
4,4,237,287
5,5,255,219
6,240,58,820
7,616,408,7
8,8,25,413
9,9,286,791
10,10,613,114
11,86,11,54
12,12,588,126
13,13,378,415
14,14,546,324
15,164,15,843
16,16,241,287
17,17,461,71
18,639,626,704
19,19,367,291
20,20,375,411
21,21,437,365
22,22,754,180
23,312,23,421
24,24,183,18
25,737,763,25
26,26,404,558
27,27,147,496
28,217,795,28
29,29,145,745
30,30,810,183
31,31,303,537
32,705,32,360
33,645,33,381
34,294,34,814
35,35,644,395
36,36,688,282
37,37,437,482
38,431,802,41
39,39,507,568
40,498,317,551
41,38,59,636
42,626,160,639
43,43,26,404
44,44,647,34
45,45,5,425
46,46,787,392
47,534,47,771
48,48,98,97
49,49,831,331
50,631,50,791
51,51,272,111
52,52,120,81
53,53,646,5
54,443,54,11
55,164,55,843
56,56,10,603
57,57,817,327
58,6,708,58
59,41,59,240
60,367,703,60
61,266,849,320
62,62,278,378
63,63,511,813
64,64,546,145
65,86,65,173
66,66,435,667
67,217,795,67
68,68,777,356
69,69,282,36
70,70,391,297
71,435,71,667
72,111,72,777
73,634,73,756
74,74,648,481
75,75,545,303
76,468,76,111
77,77,607,83
78,78,609,384
79,79,443,54
80,213,80,725
81,120,81,721
82,237,82,607
83,631,275,83
84,727,345,568
85,576,799,234
86,173,686,390
87,87,406,617
88,88,195,22
89,89,598,594
90,216,90,123
91,91,170,720
92,92,104,681
93,206,93,165
94,443,94,375
95,95,424,573
96,634,96,756
97,285,271,422
98,168,101,98
99,653,123,513
100,100,547,852
101,98,101,497
102,102,427,478
103,103,36,252
104,561,104,492
105,105,203,788
106,135,106,347
107,502,107,432
108,108,680,755
109,109,243,441
110,110,573,721
111,72,132,202
112,405,112,577
113,113,571,304
114,613,114,10
115,115,365,601
116,116,580,518
117,117,280,457
118,118,3,343
119,119,752,326
120,81,120,721
121,121,404,26
122,122,319,850
123,250,382,99
124,124,224,788
125,125,584,210
126,126,573,329
127,787,127,320
128,727,345,568
129,129,859,844
130,859,130,620
131,131,580,144
132,111,132,202
133,133,97,315
134,134,680,570
135,394,106,658
136,136,500,610
137,137,802,594
138,138,80,229
139,777,139,539
140,373,157,140
141,141,676,746
142,142,767,249
143,143,494,684
144,144,131,729
145,145,388,64
146,240,146,820
147,334,510,147
148,148,669,98
149,149,135,347
150,248,469,150
151,826,290,151
152,378,152,400
153,153,378,104
154,815,154,657
155,303,257,155
156,786,156,746
157,436,140,157
158,158,521,680
159,395,613,159
160,536,42,609
161,727,345,217
162,162,584,766
163,163,191,192
164,843,451,55
165,165,206,542
166,166,521,243
167,167,846,282
168,98,770,168
169,169,520,245
170,170,91,281
171,171,97,714
172,520,172,625
173,86,173,686
174,174,496,618
175,175,680,761
176,257,176,303
177,345,727,568
178,86,178,356
179,179,562,705
180,180,648,836
181,181,413,15
182,182,157,195
183,183,292,357
184,598,184,51
185,185,720,277
186,689,186,448
187,187,341,703
188,188,230,710
189,293,189,212
190,190,206,797
191,191,163,562
192,192,163,32
193,727,568,345
194,194,526,407
195,195,182,754
196,196,849,538
197,780,197,813
198,251,469,198
199,199,593,63
200,200,147,403
201,787,201,266
202,111,202,132
203,203,3,105
204,204,752,680
205,205,511,461
206,93,206,165
207,207,383,335
208,208,134,517
209,209,716,438
210,210,444,125
211,211,655,577
212,293,212,189
213,80,213,725
214,214,183,797
215,215,212,189
216,379,733,250
217,484,67,28
218,218,689,598
219,219,5,491
220,568,220,345
221,221,817,591
222,222,857,209
223,223,556,493
224,224,332,124
225,225,716,220
226,226,217,253
227,227,575,456
228,780,228,249
229,229,80,138
230,230,238,710
231,86,231,173
232,232,815,274
233,233,571,304
234,85,279,234
235,235,806,601
236,479,236,816
237,82,237,424
238,238,230,727
239,239,655,156
240,6,146,418
241,241,645,16
242,568,727,242
243,243,109,502
244,520,244,262
245,568,245,520
246,246,670,673
247,437,247,482
248,150,248,583
249,249,228,142
250,216,123,513
251,198,812,835
252,618,252,289
253,253,217,226
254,254,219,47
255,442,664,255
256,256,544,291
257,829,418,176
258,520,258,625
259,259,2,791
260,345,727,568
261,607,261,823
262,520,262,244
263,811,263,9
264,264,346,782
265,265,436,648
266,61,266,320
267,41,267,463
268,268,441,447
269,432,269,428
270,270,746,676
271,97,271,442
272,598,272,51
273,273,237,757
274,429,274,315
275,83,275,376
276,276,828,315
277,277,720,185
278,278,649,62
279,738,234,279
280,499,280,387
281,281,371,720
282,282,69,36
283,283,342,32
284,727,345,568
285,97,285,442
286,631,321,286
287,287,237,4
288,288,450,793
289,618,337,289
290,151,290,544
291,291,611,19
292,710,292,183
293,618,189,212
294,749,647,34
295,295,288,450
296,296,436,197
297,419,422,735
298,298,97,815
299,403,299,628
300,160,300,516
301,301,766,448
302,805,302,785
303,537,362,829
304,304,849,233
305,305,859,229
306,306,406,416
307,384,240,307
308,308,691,286
309,515,309,707
310,310,681,740
311,311,859,844
312,23,312,667
313,313,436,140
314,314,20,365
315,701,315,518
316,316,771,525
317,40,317,551
318,448,318,10
319,549,319,122
320,61,320,266
321,286,321,0
322,322,765,815
323,323,376,406
324,324,448,14
325,795,217,325
326,326,556,119
327,327,545,57
328,328,58,545
