user,artist,time,dtype,value,pred
0.0,0.0,1460.0,fake,1.0,0.6483408
0.0,0.0,1461.0,fake,1.0,0.73002684
0.0,0.0,1463.0,fake,1.0,0.7110016
0.0,0.0,1475.0,org,1.0,0.6579708
0.0,0.0,1483.0,org,1.0,0.7167145
0.0,0.0,1487.0,org,1.0,0.7061656
0.0,0.0,1538.0,org,1.0,0.6033411
0.0,1.0,1497.0,fake,1.0,0.5961535
0.0,1.0,1498.0,fake,1.0,0.6226464
0.0,1.0,1503.0,org,1.0,0.6599195
0.0,1.0,1509.0,fake,1.0,0.64499617
0.0,1.0,1512.0,fake,1.0,0.66527516
0.0,1.0,1512.0,org,1.0,0.66527516
0.0,2.0,1350.0,fake,1.0,0.68197036
0.0,2.0,1395.0,org,1.0,0.6920316
0.0,3.0,1378.0,fake,1.0,0.6305753
0.0,3.0,1385.0,org,1.0,0.6341813
0.0,3.0,1389.0,org,1.0,0.6333648
0.0,3.0,1428.0,org,1.0,0.6087346
0.0,6.0,1136.0,org,1.0,0.5541738
0.0,6.0,1144.0,org,1.0,0.62368935
0.0,6.0,1153.0,fake,1.0,0.5368877
0.0,6.0,1158.0,fake,1.0,0.5476064
0.0,6.0,1427.0,fake,1.0,0.62331235
0.0,10.0,656.0,org,1.0,0.6862832
0.0,10.0,663.0,org,1.0,0.68790424
0.0,10.0,673.0,org,1.0,0.6559389
0.0,10.0,1376.0,fake,1.0,0.7316179
0.0,11.0,639.0,org,1.0,0.7416765
0.0,11.0,987.0,fake,1.0,0.7008782
0.0,11.0,1201.0,fake,1.0,0.5595196
0.0,12.0,1285.0,org,1.0,0.7100313
0.0,13.0,1096.0,org,1.0,0.76253104
0.0,14.0,607.0,fake,1.0,0.6187397
0.0,14.0,609.0,fake,1.0,0.67892134
0.0,14.0,609.0,org,1.0,0.67892134
0.0,14.0,626.0,org,1.0,0.68480647
0.0,14.0,628.0,fake,1.0,0.6239344
0.0,14.0,636.0,org,1.0,0.7434139
0.0,14.0,679.0,fake,1.0,0.6373384
0.0,14.0,680.0,org,1.0,0.64916015
0.0,16.0,678.0,org,1.0,0.66937244
0.0,18.0,584.0,fake,1.0,0.59721696
0.0,394.0,1164.0,fake,1.0,1.2273932
0.0,1201.0,319.0,fake,0.0,0.055112816
0.0,1945.0,1042.0,fake,1.0,0.6533413
0.0,2039.0,216.0,org,0.0,-0.004616864
0.0,2275.0,861.0,fake,0.0,0.04208402
0.0,2275.0,861.0,org,0.0,0.04208402
0.0,2846.0,38.0,org,0.0,-0.08701444
1.0,22.0,524.0,fake,1.0,0.9734485
1.0,25.0,931.0,org,1.0,0.919038
1.0,25.0,1411.0,org,1.0,1.0070312
1.0,25.0,1469.0,org,1.0,0.9804356
1.0,26.0,1446.0,org,1.0,0.9467754
1.0,28.0,1401.0,org,1.0,1.0096606
1.0,29.0,598.0,org,1.0,0.81887156
1.0,29.0,931.0,org,1.0,0.7516593
1.0,29.0,950.0,org,1.0,0.6960354
1.0,35.0,1251.0,org,1.0,0.80041856
1.0,36.0,705.0,org,1.0,0.87634206
1.0,43.0,640.0,org,1.0,1.0048027
1.0,43.0,759.0,org,1.0,1.0720851
1.0,44.0,783.0,org,1.0,0.9936083
1.0,48.0,654.0,org,1.0,1.0012457
1.0,60.0,416.0,fake,1.0,0.9837812
1.0,60.0,664.0,fake,1.0,0.9707489
1.0,102.0,993.0,fake,1.0,1.0528843
1.0,102.0,1189.0,fake,1.0,0.9476783
1.0,102.0,1359.0,fake,1.0,1.0225854
1.0,103.0,1128.0,fake,1.0,0.9957942
1.0,104.0,377.0,fake,1.0,0.93766564
1.0,104.0,421.0,fake,1.0,1.0087698
1.0,104.0,548.0,fake,1.0,0.95978975
1.0,104.0,576.0,fake,1.0,0.8915972
1.0,104.0,646.0,fake,1.0,1.0310233
1.0,104.0,871.0,fake,1.0,0.9329796
1.0,104.0,953.0,fake,1.0,0.971077
1.0,180.0,771.0,fake,1.0,0.9296503
1.0,180.0,1072.0,fake,1.0,0.9726659
1.0,215.0,857.0,fake,1.0,0.8938233
1.0,424.0,527.0,fake,1.0,0.9875512
1.0,424.0,625.0,fake,1.0,0.9659412
1.0,424.0,1376.0,fake,1.0,1.0438477
1.0,486.0,1297.0,fake,0.0,-0.065860495
1.0,491.0,411.0,fake,0.0,0.23759176
1.0,498.0,1121.0,fake,1.0,1.0298394
1.0,736.0,361.0,fake,1.0,0.93927693
1.0,736.0,1452.0,fake,1.0,1.2192217
1.0,800.0,1093.0,fake,1.0,0.8616085
1.0,1536.0,1414.0,fake,1.0,0.9374707
1.0,1578.0,1201.0,fake,0.0,0.27998272
1.0,1761.0,1568.0,org,0.0,0.0147845745
1.0,2398.0,1469.0,fake,0.0,0.20981747
2.0,46.0,740.0,fake,1.0,0.7261859
2.0,46.0,1245.0,fake,1.0,0.73971635
2.0,55.0,1511.0,org,1.0,0.7783905
2.0,56.0,539.0,org,1.0,0.7947917
2.0,56.0,635.0,fake,1.0,0.7075483
2.0,56.0,763.0,org,1.0,0.6890645
2.0,56.0,913.0,fake,1.0,0.7369185
2.0,56.0,915.0,org,1.0,0.698393
2.0,56.0,933.0,org,1.0,0.67844015
2.0,56.0,945.0,fake,1.0,0.74693036
2.0,56.0,985.0,fake,1.0,0.6479863
2.0,56.0,987.0,fake,1.0,0.70785856
2.0,56.0,1023.0,fake,1.0,0.73230004
2.0,56.0,1024.0,org,1.0,0.69329286
2.0,56.0,1267.0,fake,1.0,0.74389136
2.0,56.0,1270.0,org,1.0,0.7049842
2.0,56.0,1275.0,org,1.0,0.6550431
2.0,56.0,1334.0,fake,1.0,0.74121994
2.0,59.0,1243.0,fake,1.0,0.6666514
2.0,60.0,512.0,fake,1.0,0.69097054
2.0,60.0,514.0,org,1.0,0.72816455
2.0,60.0,773.0,fake,1.0,0.79313755
2.0,60.0,1288.0,org,1.0,0.75858355
2.0,62.0,987.0,org,1.0,0.7688485
2.0,62.0,1028.0,fake,1.0,0.79554486
2.0,63.0,741.0,org,1.0,0.6759584
2.0,63.0,980.0,fake,1.0,0.64223564
2.0,63.0,1003.0,org,1.0,0.68334126
2.0,63.0,1086.0,org,1.0,0.6940681
2.0,65.0,615.0,org,1.0,0.60849965
2.0,67.0,723.0,fake,1.0,0.7502694
2.0,68.0,615.0,org,1.0,0.6591537
2.0,68.0,631.0,org,1.0,0.77633464
2.0,68.0,635.0,org,1.0,0.7187855
2.0,71.0,631.0,org,1.0,0.7463347
2.0,72.0,614.0,fake,1.0,0.5557969
2.0,73.0,538.0,fake,1.0,0.74903715
2.0,74.0,490.0,fake,1.0,0.69088936
2.0,74.0,490.0,org,1.0,0.69088936
2.0,74.0,504.0,org,1.0,0.6635465
2.0,75.0,327.0,fake,1.0,0.62205756
2.0,76.0,297.0,org,1.0,0.64939064
2.0,77.0,261.0,org,1.0,0.61692834
2.0,84.0,80.0,fake,0.0,0.004803324
2.0,461.0,759.0,org,0.0,0.24198261
2.0,519.0,1298.0,org,0.0,0.028949857
2.0,627.0,1327.0,fake,0.0,3.0989709e-06
2.0,736.0,234.0,fake,1.0,0.6653697
2.0,898.0,275.0,fake,1.0,0.5511225
2.0,944.0,580.0,org,0.0,0.12335895
2.0,1522.0,352.0,fake,0.0,0.08383608
2.0,1855.0,71.0,fake,0.0,0.048549417
2.0,1921.0,10.0,fake,0.0,0.04301455
2.0,1921.0,10.0,org,0.0,0.04301455
2.0,2011.0,659.0,fake,0.0,4.9482964e-08
2.0,2011.0,659.0,org,0.0,4.9482964e-08
2.0,2863.0,666.0,fake,0.0,-0.00024353666
3.0,36.0,495.0,fake,1.0,0.8052021
3.0,62.0,1317.0,org,1.0,1.024015
3.0,80.0,940.0,org,1.0,0.76525426
3.0,82.0,1382.0,org,1.0,0.88878214
3.0,87.0,1301.0,org,1.0,0.43210524
3.0,90.0,1139.0,org,1.0,0.961067
3.0,94.0,924.0,org,1.0,0.88533497
3.0,95.0,1130.0,org,1.0,1.0446908
3.0,102.0,413.0,fake,1.0,0.91390216
3.0,102.0,491.0,fake,1.0,0.98736966
3.0,103.0,1551.0,fake,0.0,0.5645077
3.0,105.0,914.0,org,1.0,0.9140852
3.0,116.0,908.0,fake,1.0,0.9530288
3.0,116.0,1166.0,fake,1.0,1.0557417
3.0,139.0,473.0,fake,1.0,0.9462918
3.0,139.0,492.0,fake,1.0,1.0751982
3.0,139.0,1062.0,fake,1.0,0.9961786
3.0,139.0,1065.0,fake,1.0,1.0231917
3.0,139.0,1070.0,fake,1.0,1.0062451
3.0,139.0,1075.0,fake,1.0,0.9691424
3.0,257.0,1139.0,fake,1.0,0.7601346
3.0,380.0,1270.0,fake,1.0,0.6632678
3.0,711.0,327.0,org,0.0,0.1271604
3.0,777.0,421.0,fake,1.0,0.9720454
3.0,777.0,461.0,fake,1.0,0.830935
3.0,804.0,1167.0,fake,1.0,0.93446296
3.0,1419.0,594.0,fake,0.0,-0.028660152
3.0,1508.0,1260.0,fake,0.0,0.068778716
3.0,1662.0,546.0,fake,0.0,0.05297706
3.0,2672.0,421.0,fake,1.0,0.75167835
3.0,2672.0,499.0,fake,1.0,0.72977877
3.0,2672.0,518.0,fake,1.0,0.8229628
3.0,2817.0,922.0,fake,0.0,0.08666665
3.0,2959.0,414.0,fake,1.0,0.7792371
3.0,2959.0,490.0,fake,1.0,0.79794705
4.0,62.0,48.0,fake,1.0,0.8110919
4.0,104.0,555.0,fake,1.0,0.91251755
4.0,108.0,555.0,org,1.0,1.0015861
4.0,108.0,721.0,fake,1.0,0.9857797
4.0,108.0,864.0,fake,1.0,0.96675146
4.0,108.0,865.0,org,1.0,1.0249078
4.0,108.0,869.0,org,1.0,1.0008782
4.0,108.0,871.0,org,1.0,1.0063137
4.0,108.0,881.0,fake,1.0,1.007829
4.0,108.0,882.0,fake,1.0,0.9973867
4.0,108.0,882.0,org,1.0,0.9973867
4.0,108.0,886.0,org,1.0,0.967146
4.0,108.0,908.0,org,1.0,0.9329705
4.0,108.0,1026.0,fake,1.0,0.96554554
4.0,108.0,1045.0,org,1.0,0.923463
4.0,108.0,1132.0,org,1.0,0.99132276
4.0,108.0,1135.0,fake,1.0,0.9778019
4.0,108.0,1135.0,org,1.0,0.9778019
4.0,108.0,1137.0,org,1.0,0.9433502
4.0,108.0,1173.0,org,1.0,1.0321572
4.0,108.0,1225.0,fake,1.0,1.0115525
4.0,108.0,1402.0,fake,1.0,0.92712617
4.0,108.0,1402.0,org,1.0,0.92712617
4.0,109.0,933.0,fake,1.0,0.69653696
4.0,109.0,1224.0,org,1.0,0.67652553
4.0,110.0,556.0,org,1.0,0.814451
4.0,110.0,569.0,org,1.0,0.8424094
4.0,110.0,647.0,org,1.0,0.89210045
4.0,110.0,649.0,fake,1.0,0.9066769
4.0,110.0,649.0,org,1.0,0.9066769
