0,1,2,3
0,0,546,619
1,224,852,566
2,67,2,815
3,784,419,112
4,4,240,411
5,362,5,827
6,848,372,480
7,566,511,768
8,222,8,430
9,9,383,753
10,10,268,53
11,386,466,444
12,12,521,245
13,291,13,195
14,176,795,454
15,639,543,759
16,16,228,312
17,17,482,180
18,148,61,756
19,639,829,759
20,20,95,598
21,80,81,21
22,22,572,10
23,23,358,195
24,337,60,39
25,33,25,682
26,26,625,448
27,27,103,632
28,28,143,374
29,803,29,840
30,30,726,132
31,105,764,689
32,777,677,292
33,25,674,256
34,34,683,583
35,289,59,392
36,175,759,543
37,337,296,106
38,139,837,336
39,392,631,466
40,728,477,687
41,397,285,216
42,42,320,251
43,43,443,7
44,44,32,627
45,45,693,312
46,848,14,413
47,752,47,533
48,253,197,342
49,794,194,436
50,264,364,727
51,354,423,350
52,52,191,88
53,53,10,594
54,515,54,718
55,55,412,602
56,56,403,680
57,521,312,483
58,345,513,639
59,128,733,250
60,466,24,345
61,752,18,61
62,62,602,32
63,214,63,578
64,64,681,607
65,148,582,364
66,543,639,759
67,2,67,824
68,175,158,454
69,69,780,259
70,70,519,370
71,543,759,639
72,285,557,168
73,165,651,73
74,444,454,175
75,685,313,265
76,703,76,492
77,671,487,534
78,579,482,195
79,79,1,367
80,181,289,504
81,397,175,124
82,82,73,45
83,333,168,516
84,248,543,176
85,539,428,41
86,113,317,820
87,656,87,114
88,88,52,528
89,89,73,411
90,543,639,496
91,91,509,535
92,509,92,841
93,93,856,497
94,848,691,94
95,838,95,20
96,96,643,774
97,6,40,735
98,543,795,176
99,747,582,364
100,735,176,148
101,101,817,749
102,102,536,715
103,629,360,38
104,828,104,350
105,307,31,269
106,248,466,37
107,41,594,515
108,108,476,615
109,795,176,643
110,110,616,721
111,111,598,114
112,187,685,60
113,86,113,317
114,213,516,397
115,115,808,664
116,116,752,197
117,117,552,365
118,118,297,437
119,443,691,14
120,120,228,501
121,121,400,312
122,221,122,641
123,608,609,500
124,81,487,603
125,125,401,265
126,556,37,650
127,127,509,336
128,392,59,123
129,132,1,129
130,130,411,665
131,131,438,856
132,423,123,289
133,133,473,548
134,134,830,122
135,413,372,142
136,416,557,168
137,137,723,803
138,138,542,219
139,805,360,38
140,140,699,25
141,141,178,676
142,135,6,829
143,143,28,374
144,144,738,552
145,848,413,685
146,206,572,337
147,570,554,852
148,506,555,463
149,149,523,288
150,354,248,466
151,151,499,668
152,152,461,76
153,222,153,627
154,240,154,716
155,237,50,81
156,156,86,412
157,176,248,444
158,68,226,528
159,543,759,727
160,482,100,208
161,176,543,759
162,180,834,162
163,163,726,845
164,337,296,740
165,73,165,109
166,166,607,52
167,167,812,467
168,72,313,718
169,543,269,639
170,170,525,761
171,615,171,837
172,172,212,227
173,173,793,125
174,174,103,832
175,36,480,718
176,577,396,549
177,289,345,285
178,178,141,484
179,179,443,49
180,162,537,460
181,837,816,603
182,182,25,656
183,543,727,759
184,184,844,265
185,185,187,844
186,546,186,598
187,695,578,112
188,188,845,280
189,189,212,227
190,132,35,589
191,607,191,187
192,192,753,546
193,543,269,582
194,691,443,538
195,511,554,800
196,400,375,196
197,736,48,350
198,198,514,597
199,199,628,96
200,200,5,816
201,201,509,49
202,397,285,599
203,203,109,65
204,204,228,1
205,345,639,759
206,829,146,513
207,637,677,831
208,644,160,208
209,749,209,738
210,210,50,749
211,302,787,211
212,212,172,227
213,114,674,81
214,728,139,821
215,215,487,326
216,480,567,431
217,672,804,449
218,218,552,850
219,542,219,73
220,543,345,269
221,122,671,487
222,786,153,8
223,363,223,350
224,851,39,1
