student,module,test,dtype,score,pred
0,0,0,org,0.502,0.4333078
0,7,1,fake,0.775,0.5943043
0,8,0,fake,0.8333333333333333,0.6052235
0,17,0,org,0.8059999999999999,0.6994685
0,17,1,org,0.79,0.7168076
0,18,0,fake,0.746,0.643805
1,1,0,org,0.72,0.5637809
1,7,1,fake,0.775,0.6961326
1,15,1,fake,0.7785714285714286,0.7177765
1,16,0,org,0.87,0.71563816
1,16,1,org,0.9200000000000002,0.84397316
2,7,0,fake,0.523,0.48189723
2,7,1,fake,0.5333333333333333,0.4623845
2,7,2,fake,0.46,0.78759795
2,8,0,fake,0.574,0.56002855
2,8,1,fake,0.36400000000000005,0.6568266
2,9,0,fake,0.562,0.5408329
2,9,2,fake,0.56,0.8075563
2,10,0,fake,0.574,0.5666504
2,13,0,fake,0.84,0.68291396
3,2,0,org,0.72,0.5580171
3,3,0,org,0.665,0.64021945
3,3,1,org,1.0,0.6789044
3,18,1,fake,0.9885714285714287,0.6322664
4,2,0,org,0.87,0.59291583
4,7,1,fake,0.775,0.6078144
4,7,2,fake,0.7,0.5255691
5,2,0,org,0.6616666666666667,0.5538036
5,8,2,fake,0.6,0.35121828
5,16,0,org,0.752,0.59777117
5,16,1,org,0.6342857142857143,0.56221133
6,2,0,org,0.66,0.6756034
6,2,1,org,0.933333333333333,0.814005
6,5,0,org,0.794,0.62423545
6,8,0,fake,0.885,0.61421186
6,18,1,fake,1.0,0.74452263
7,2,0,org,0.8033333333333331,0.6169096
7,2,1,org,0.9333333333333331,0.71988285
7,3,0,org,0.765,0.565189
7,3,1,org,0.9333333333333331,0.62574023
7,8,0,fake,0.9066666666666668,0.5374381
8,2,0,org,0.8066666666666668,0.5938437
8,2,1,org,0.8666666666666667,0.6852753
8,18,1,fake,0.8433333333333333,0.7408623
9,2,0,fake,0.645,0.60299945
9,2,0,org,0.645,0.60299945
9,2,1,fake,0.7,0.62801576
9,2,1,org,0.7,0.62801576
9,3,0,fake,0.6450000000000001,0.63053334
9,3,0,org,0.645,0.63053334
9,3,1,fake,0.7,0.6700679
9,3,1,org,0.7,0.6700679
10,2,0,org,0.81,0.4770324
10,10,2,fake,0.62,0.66520226
11,2,0,org,0.75,0.51941466
11,2,1,org,0.933333333333333,0.76609355
11,3,0,org,0.74,0.59829444
11,3,1,org,0.8,0.76317406
11,7,0,fake,0.8550000000000001,0.61883086
11,8,2,fake,0.6,0.5907441
11,11,0,fake,0.7933333333333332,0.7663038
11,11,2,fake,0.91,0.5920538
12,2,1,org,1.0,0.5447492
12,4,0,org,0.765,0.5373879
12,4,1,org,1.0,0.7068396
12,17,0,fake,0.494,0.5171269
12,18,0,org,0.62,0.5386518
13,2,0,org,0.71,0.64540607
13,2,1,org,1.0,0.5343129
13,4,0,org,0.56,0.58238804
13,7,0,fake,0.98,0.6235305
14,2,0,org,0.8316666666666667,0.42486542
14,2,1,org,0.96,0.47643763
14,9,0,org,0.345,0.34055144
15,2,1,fake,1.0,0.83549166
15,2,1,org,1.0,0.83549166
15,3,0,fake,0.69,0.6196096
15,3,0,org,0.69,0.6196096
16,2,0,org,0.665,0.59681237
16,2,1,org,0.8,0.6675849
16,3,0,org,0.7125,0.6254213
16,3,1,org,0.85,0.687178
16,7,1,fake,1.0,0.60381943
17,2,1,org,1.0,0.7404693
