0,1,2,3
0,2608,2558,1885
1,3082,1740,2558
2,1498,1761,2456
3,2123,2417,529
4,1740,2105,1686
5,1026,1630,33
6,261,1377,2989
7,74,470,2850
8,28,1601,3236
9,78,156,1306
10,2620,2231,2629
11,1786,2417,1432
12,1419,3164,3069
13,1793,35,110
14,1925,1929,388
15,287,3061,15
16,2437,1934,1630
17,2775,258,3191
18,2406,2628,1058
19,328,1979,384
20,470,1058,790
21,1245,858,21
22,2042,2122,995
23,1126,1067,1053
24,1885,287,3061
25,2438,2437,2775
26,1813,1772,2483
27,2123,384,3201
28,2509,8,350
29,3107,1135,29
30,778,1114,1783
31,3218,60,2670
32,28,3061,1053
33,648,1728,544
34,34,1267,30
35,1843,957,1278
36,2633,2483,2123
37,1011,566,1267
38,2197,3061,1306
39,287,3066,39
40,1475,2,40
41,2123,1813,2197
42,2628,2530,3236
43,2483,1929,2775
44,2253,44,3164
45,3191,2483,2123
46,3090,321,677
47,3130,2832,2836
48,441,754,125
49,1432,1245,49
50,1377,2483,1011
51,470,3040,2197
52,52,2515,3100
53,1772,818,53
54,2707,2558,2608
55,1267,2989,55
56,1432,2362,1453
57,152,3091,499
58,470,2770,3040
59,1306,1067,2608
60,593,154,290
61,3061,549,2123
62,1649,544,1167
63,1051,2123,1306
64,48,1272,1026
65,145,2483,1439
66,62,1011,1885
67,2989,67,384
68,2989,2197,3061
69,1067,1453,1306
70,2197,688,1058
71,2313,1549,1337
72,1686,203,138
73,2483,2633,2123
74,924,1608,7
75,2836,2417,1772
76,858,1705,958
77,30,549,3100
78,2311,2606,1366
79,2042,384,2438
80,1772,1267,2082
81,2015,81,151
82,790,1058,470
83,28,1053,287
84,1979,2989,2483
85,1432,2836,3061
86,3130,2231,243
87,110,3130,138
88,2483,2123,3201
89,1983,426,1747
90,1686,123,78
91,529,2633,1813
92,2940,104,1345
93,287,2628,1053
94,384,1979,2836
95,958,3028,387
96,2707,2608,2558
97,3082,2558,1053
98,438,98,2165
99,28,3197,3236
100,549,2608,1053
101,1067,2197,1306
102,2388,1462,130
103,102,138,261
104,2483,1022,2549
105,2775,2123,2836
106,2585,2128,2184
107,1885,62,33
108,3061,60,1053
109,33,1885,639
110,1303,1747,1133
111,2989,1267,1926
112,1786,1267,2989
113,566,1011,102
114,1267,1432,2458
115,28,3061,1058
116,1011,1267,2264
117,1822,117,243
118,3130,639,566
119,790,2605,470
120,2044,2628,3018
121,2264,3236,2530
122,2437,2438,3082
123,90,2528,1189
124,566,2231,1011
125,1245,48,1885
126,2810,2754,519
127,1885,1772,549
128,470,3061,28
129,1929,1885,1267
130,102,688,138
131,337,1377,2042
132,436,1825,2471
133,1011,1885,3061
134,2362,2628,28
135,3061,1058,1656
136,110,639,136
137,1601,2530,28
138,2311,2606,843
139,337,790,1058
140,2775,2483,2836
141,1786,2082,1432
142,110,1552,142
143,328,203,1813
144,2685,549,3191
145,2052,2294,2898
146,57,30,3174
147,1011,62,1885
148,2586,1128,439
149,790,2628,1058
150,2437,287,1053
151,2620,559,1881
152,57,3071,48
153,2438,1053,920
154,60,1552,3061
155,1772,1885,549
156,943,365,972
157,3197,2082,157
158,102,158,110
159,3061,688,1377
160,1432,2417,2123
161,1793,470,2608
162,3018,28,3235
163,2628,2530,2409
164,384,2989,1267
165,1885,62,1929
166,2231,2183,639
167,1885,1011,2264
168,337,2270,168
169,3082,1011,2836
170,3082,1885,2438
171,2406,1786,1058
172,1615,2992,3166
173,2483,3191,2123
174,2197,470,1630
175,549,1475,2822
176,2,1796,1475
177,177,3040,790
178,1011,3130,3061
179,388,639,1772
180,1772,3206,2082
181,3130,1011,2197
182,2197,2123,1058
183,1058,790,470
184,57,2123,184
185,353,1724,2319
186,2989,1885,2438
187,2989,470,1929
188,3206,1929,1267
189,708,357,3208
190,2123,2483,1772
191,2183,1636,2042
192,1793,2105,35
193,2219,788,2449
194,3236,2628,2530
195,2123,2608,1272
196,3061,2989,2197
197,542,261,2578
198,2685,2123,1306
199,2231,3130,2197
200,398,132,2775
201,2524,1662,1135
202,1772,549,818
203,2606,2069,1493
204,542,1630,1636
205,1828,2832,333
206,1697,1058,1051
207,2989,1053,3061
208,2628,1011,3236
209,1340,566,688
210,156,566,2123
211,790,470,1058
212,688,2042,1307
213,1475,2,213
214,549,57,1885
215,2231,639,33
216,1188,3047,566
217,2628,2197,1058
218,156,3082,1740
219,2231,1053,2437
220,2317,470,2197
221,1772,3130,2483
222,2197,2044,470
223,156,1740,2836
224,2264,3236,1705
225,2989,790,1058
226,1925,2241,2105
227,3061,2406,1058
228,2775,2836,2123
229,3174,2123,229
