student,module,test,dtype,score,pred
0,0,0,org,0.502,0.5192994
0,6,0,fake,0.8402777777777778,0.6809947
0,6,1,fake,0.6733333333333333,0.67696106
0,6,2,fake,0.7600000000000001,0.6809908
0,7,0,fake,0.92,0.7191502
0,7,1,fake,0.775,0.7381583
0,7,2,fake,0.78,0.6993262
0,9,0,fake,0.68,0.8185333
0,17,0,fake,0.89,0.8525909
0,17,0,org,0.8059999999999999,0.8525909
0,17,1,fake,0.9142857142857145,0.88796395
0,17,1,org,0.79,0.88796395
1,1,0,org,0.7200000000000001,0.75993377
1,7,0,fake,0.98,0.76168406
1,7,1,fake,0.859,0.8619936
1,7,2,fake,0.7799999999999999,0.7121233
1,8,0,fake,0.826,0.7475422
1,8,2,fake,0.76,0.63692296
1,16,0,org,0.87,0.88615394
1,16,1,org,0.92,1.0276515
1,17,0,fake,0.89,0.856628
1,17,1,fake,0.9142857142857145,0.9504266
2,2,0,org,0.65,0.8002286
2,2,1,org,0.7333333333333333,0.8886367
2,4,1,org,0.7333333333333333,0.721246
2,6,0,fake,0.415,0.4310985
2,6,1,fake,0.5733333333333334,0.46999592
2,7,0,fake,0.265,0.43061936
2,7,1,fake,0.34,0.45938078
2,8,0,fake,0.574,0.4410403
2,8,1,fake,0.36400000000000005,0.5267338
2,9,0,fake,0.562,0.51715183
2,9,2,fake,0.56,0.847975
2,17,0,fake,0.856,0.68293387
2,17,1,fake,0.8571428571428571,0.7187793
3,2,0,org,0.72,0.6597396
3,3,0,org,0.665,0.77080834
3,3,1,org,1.0,0.8563016
3,6,1,fake,0.6,0.66966605
3,7,0,fake,0.64,0.60391295
3,7,1,fake,0.47,0.6659273
3,7,2,fake,0.54,0.5063354
3,8,0,fake,0.6033333333333334,0.6917698
3,8,1,fake,0.74,0.78948313
3,10,0,fake,0.6033333333333334,0.72167
3,12,0,fake,0.78,0.8410932
4,2,0,org,0.87,0.8463897
4,7,0,fake,0.835,0.7365714
4,7,2,fake,0.9200000000000002,0.71871823
4,8,0,fake,0.817888888888889,0.7169572
4,8,1,fake,0.817037037037037,0.81998897
4,8,2,fake,0.7133333333333333,0.77926046
4,9,0,fake,0.9583333333333333,0.785107
5,2,0,fake,0.745,0.755083
5,2,0,org,0.6616666666666667,0.755083
5,4,0,fake,0.7975,0.7291852
5,7,0,fake,0.86,0.7953026
5,7,1,fake,0.8396875,0.7564828
5,7,2,fake,0.9,0.6613106
5,9,0,fake,0.7941666666666668,0.8332418
5,10,0,fake,0.815,0.7589239
5,10,2,fake,0.82,0.8451867
5,16,0,org,0.752,0.83746123
5,16,1,org,0.6342857142857143,0.8459072
6,2,0,org,0.66,0.6280523
6,2,1,org,0.9333333333333331,0.8022922
6,5,0,org,0.794,0.6820067
6,6,0,fake,0.86,0.8195768
6,6,1,fake,0.7033333333333333,0.76462185
6,8,0,fake,0.745,0.6989301
6,8,1,fake,0.6228571428571429,0.7151331
6,8,2,fake,0.6,0.6411816
6,15,0,fake,0.93,0.83304334
6,15,1,fake,0.79,0.8222361
6,16,0,fake,0.6425,0.77026814
6,17,0,fake,0.612,0.6647488
6,17,1,fake,0.9171428571428573,0.7926829
7,2,0,org,0.8033333333333332,0.716159
7,2,1,org,0.9333333333333331,0.8474804
7,3,0,org,0.765,0.711877
7,3,1,org,0.9333333333333331,0.81318504
7,8,0,fake,0.770625,0.71535087
7,8,1,fake,0.7373015873015872,0.7799989
7,8,2,fake,0.7083333333333334,0.649405
7,11,0,fake,0.6533333333333333,0.80218333
7,11,2,fake,0.58,0.6427112
8,2,0,fake,0.65,0.76056343
8,2,0,org,0.8066666666666668,0.76056343
8,2,1,org,0.8666666666666666,0.9070054
8,7,0,fake,0.7033333333333333,0.73200935
8,7,1,fake,0.9333333333333333,0.6943202
8,7,2,fake,0.54,0.6487264
8,9,0,fake,0.6564444444444445,0.67719144
8,9,2,fake,0.5842857142857143,0.5780575
8,19,0,fake,0.6666666666666666,0.79435194
8,19,1,fake,0.9,0.9199918
9,2,0,org,0.645,0.7330445
9,2,1,org,0.7,0.8062316
9,3,0,org,0.645,0.77583206
9,3,1,fake,0.88,0.8483461
9,3,1,org,0.7,0.8483461
9,5,0,fake,0.6999999999999998,0.6528978
9,6,0,fake,0.5675,0.6277977
9,6,2,fake,0.48,0.5939959
9,10,0,fake,0.6833333333333332,0.6515709
9,10,2,fake,0.56,0.6490639
9,18,1,fake,0.91,0.7657931
9,20,0,fake,0.8433333333333333,0.7371098
9,20,1,fake,0.8666666666666667,0.85259265
10,2,0,org,0.81,0.8539821
10,6,0,fake,0.9775,0.7535796
10,6,1,fake,0.99,0.692557
10,6,2,fake,1.0,0.8463138
10,7,0,fake,0.8649999999999999,0.7243225
10,7,1,fake,0.855,0.6463855
10,17,0,fake,0.6333333333333333,0.842032
10,17,1,fake,0.67,0.8314755
10,18,0,fake,0.638,0.81867224
11,2,0,org,0.75,0.6292328
11,2,1,org,0.9333333333333331,0.82124466
11,3,0,org,0.74,0.70237124
11,3,1,org,0.8,0.8357603
11,7,1,fake,0.9174999999999999,0.7811908
11,7,2,fake,0.62,0.54573476
11,8,0,fake,0.81075,0.75587547
11,8,1,fake,0.8496666666666668,0.8338121
11,8,2,fake,0.5349999999999999,0.60124743
11,13,0,fake,0.9075,0.7358595
12,2,1,org,1.0,0.87877893
12,4,0,org,0.765,0.7825652
12,4,1,org,1.0,1.0456865
12,7,0,fake,0.97,0.8217086
12,7,1,fake,0.93,0.8492949
12,7,2,fake,0.62,0.63494325
12,8,0,fake,0.638,0.8169241
12,8,2,fake,0.49,0.59835076
12,17,0,fake,0.98,0.8470905
12,17,1,fake,0.93,0.89521736
12,18,0,org,0.62,0.8467712
13,2,0,org,0.7100000000000001,0.850911
13,2,1,org,1.0,0.8676755
13,4,0,org,0.56,0.7592075
13,6,1,fake,0.7933333333333333,0.71224153
13,6,2,fake,0.92,0.80240154
13,7,0,fake,0.76,0.76929486
13,7,1,fake,0.5995,0.65258676
13,7,2,fake,0.8,0.74164903
13,10,0,fake,0.745,0.7786704
13,17,0,fake,0.878,0.90852165
13,17,1,fake,0.8785714285714284,0.8903325
14,2,0,org,0.8316666666666667,0.83758086
14,2,1,org,0.96,0.9179224
14,6,0,fake,0.9625,0.79870504
14,6,2,fake,1.0,0.7691007
14,7,1,fake,0.9275,0.7891271
14,7,2,fake,0.96,0.89643633
14,9,0,fake,0.935,0.69216204
14,9,0,org,0.34500000000000003,0.69216204
14,9,2,fake,0.91,0.76645803
14,16,0,fake,0.84,0.89461577
14,16,1,fake,0.81,0.9023938
14,18,0,fake,0.74,0.8357724
14,18,1,fake,0.75,0.8841591
15,2,1,org,1.0,0.8735271
15,3,0,org,0.69,0.66737056
15,7,0,fake,0.385,0.5657611
15,7,1,fake,0.73,0.54733145
15,7,2,fake,0.5,0.583577
15,10,0,fake,0.82,0.69651484
15,10,2,fake,0.89,0.803862
15,11,0,fake,0.51,0.61220187
15,19,0,fake,0.8333333333333333,0.7488128
16,2,0,org,0.665,0.66540986
16,2,1,org,0.8000000000000002,0.75314647
16,3,0,org,0.7125,0.7737329
16,3,1,org,0.85,0.8625739
16,7,0,fake,0.725,0.73155034
16,7,1,fake,0.8825,0.79473025
16,7,2,fake,0.6,0.66267496
16,9,0,fake,0.85,0.7690399
16,10,0,fake,0.8683333333333333,0.7807754
16,10,2,fake,0.62,0.6620027
16,11,0,fake,0.5733333333333334,0.7500988
17,2,0,fake,0.5933333333333334,0.8349708
17,2,1,fake,0.95,0.9779515
17,2,1,org,1.0,0.9779515
17,4,0,org,0.8275,0.84665877
17,4,1,fake,0.8800000000000001,1.0601254
17,4,1,org,1.0,1.0601254
17,6,0,fake,0.8466666666666667,0.76351726
17,6,2,fake,0.8,0.73187464
17,7,1,fake,0.78,0.70625794
17,14,0,fake,0.905,0.7816322
18,2,0,fake,0.65,0.6637819
18,2,0,org,0.67,0.6637819
18,2,1,org,0.8,0.78406703
18,3,0,org,0.67,0.69730395
18,3,1,org,0.8,0.773405
18,7,0,fake,0.755,0.64360297
18,7,1,fake,0.73,0.6098493
18,7,2,fake,0.5,0.5435183
18,8,0,fake,0.77,0.7946248
18,8,1,fake,0.735,0.85818106
18,8,2,fake,0.33,0.698594
18,10,0,fake,0.82,0.75999963
18,10,2,fake,0.89,0.6429347
18,19,0,fake,0.6666666666666666,0.75245154
