0,1,2,3
0,740,1740,333
1,1564,2958,1740
2,2447,1498,176
3,1067,1126,2417
4,1687,2958,2749
5,1656,62,1686
6,261,3137,2781
7,2850,2770,2411
8,1601,28,1487
9,786,78,156
10,659,1359,3221
11,1786,2989,2593
12,2458,3239,1464
13,789,958,1793
14,639,1327,3166
15,2270,1756,126
16,1773,3005,1934
17,2392,46,1051
18,2406,28,1756
19,3201,384,2183
20,3236,3166,2970
21,1245,940,201
22,2122,2458,995
23,1067,1126,1756
24,2620,1756,2152
25,3020,3083,2438
26,549,3104,1016
27,3201,1359,2183
28,1299,115,2509
29,1999,54,634
30,883,1168,2021
31,914,60,3218
32,740,914,28
33,648,661,1007
34,29,2749,132
35,1261,609,1841
36,148,2483,2633
37,1439,289,566
38,2197,2670,1306
39,3066,940,1037
40,1475,40,1011
41,2123,1615,1377
42,3203,2628,2530
43,408,549,1687
44,3170,44,3069
45,3191,2775,2125
46,3090,2457,2876
47,3130,2836,2832
48,1315,840,1977
49,940,2392,3066
50,1377,1552,145
51,193,1550,2197
52,877,52,3100
53,2125,549,3130
54,29,1916,3218
55,3226,1068,1245
56,3083,613,940
57,2463,1269,3098
58,470,193,952
59,1306,2958,1067
60,1990,1664,377
61,1756,3061,1051
62,1379,465,107
63,1306,1051,3191
64,1272,33,64
65,1016,3104,2992
66,1687,289,2749
67,750,3155,408
68,1656,1377,1697
69,2978,1306,69
70,1058,1550,688
71,1631,1474,1001
72,3218,2197,1686
73,3209,2483,148
74,1608,2669,924
75,2044,1472,566
76,2558,132,398
77,3100,549,30
78,2606,2194,3237
79,244,1800,2122
80,2082,3206,3197
81,151,2753,1609
82,1697,470,1058
83,3069,60,28
84,1022,89,3020
85,1432,1453,60
86,1822,1359,3239
87,2605,1656,2123
88,2123,1016,3104
89,1043,2177,2582
90,92,2749,46
91,2633,529,148
92,209,1859,722
93,1037,1359,2270
94,3201,384,1022
95,958,2261,35
96,3033,1686,1026
97,920,479,1053
98,517,272,1459
99,28,1601,1487
100,2168,920,3019
101,1067,1306,2685
102,342,2388,1091
103,1377,1656,138
104,71,3020,1022
105,613,1453,3083
106,794,975,833
107,62,78,1026
108,126,2197,3122
109,2152,442,2241
110,1749,1266,343
111,2989,2593,1926
112,2593,1926,1786
113,566,156,323
114,71,3020,2458
115,28,559,2970
116,2164,3164,145
117,243,117,394
118,62,2261,1822
119,2605,1550,3094
120,2978,2044,1067
121,2593,2731,813
122,1934,786,78
123,2654,2322,2157
124,62,3239,2983
125,2392,48,940
126,845,1363,739
127,549,2958,1740
128,958,2197,740
129,185,2958,1929
130,688,62,78
131,2164,2392,337
132,436,1825,1357
133,1822,688,740
134,2362,1359,28
135,2392,2197,1697
136,394,2152,287
137,338,1601,1487
138,1367,2311,2606
139,337,3200,3046
140,2775,3191,2483
141,141,2963,2082
142,142,3066,2164
143,126,328,143
144,2685,48,1022
145,1113,2052,1734
146,132,30,1051
147,2483,2392,1051
148,1128,2586,1013
149,1550,337,790
150,1756,1126,3061
151,81,1881,559
152,1051,3083,48
153,920,2197,1190
154,1552,60,1037
155,3019,549,3104
156,972,2821,210
157,2963,289,2850
158,158,2786,2530
159,1550,1656,35
160,3083,2458,89
161,3218,958,740
162,28,1756,940
163,3197,2122,2758
164,1267,2122,1011
165,1686,1377,1929
166,2122,442,287
167,442,1394,2152
168,3046,1800,2270
169,3082,78,786
170,2749,2438,2958
171,1756,1786,562
172,2992,3166,2515
173,2483,3104,3191
174,2044,470,958
175,408,549,48
176,2,1475,1253
177,3094,2362,407
178,740,2197,1822
179,3047,388,2861
180,1427,2963,1267
181,1822,659,958
182,1126,1393,958
183,1058,790,470
184,3174,2978,2894
185,2115,1724,2319
186,1267,1916,1022
187,1377,1929,828
188,3206,1929,1267
189,708,357,2517
190,2123,2483,3104
191,1773,2044,3005
192,1793,540,1686
193,505,2387,2219
194,2530,2786,3203
195,1272,1881,2608
196,3061,740,2197
197,2578,244,1656
198,1051,3191,549
199,3070,1223,2044
200,2716,46,1552
201,1032,482,1168
202,549,818,1687
203,2619,3247,2606
204,1615,1773,2044
205,1828,2832,2932
206,562,3174,1058
207,1756,740,3061
208,2628,3236,740
209,566,92,995
210,156,566,89
211,790,470,1550
212,3236,1307,1786
213,333,1475,1253
214,2958,2749,29
215,2231,2437,3070
216,388,2894,828
217,659,1881,958
218,92,2438,2749
219,1359,2231,287
220,1550,470,2605
221,1686,1929,2483
222,2044,3100,470
223,2978,566,2958
224,3236,858,2558
225,3166,1916,3200
226,1925,2770,388
227,2620,1756,2935
228,2836,2123,2253
229,1016,1881,2123
230,89,148,2417
231,35,2105,2389
232,2992,818,470
233,3069,2628,3040
234,2605,1016,3094
235,33,2437,2231
236,388,818,1929
237,2123,3104,2629
238,1126,1756,3061
239,2850,1011,2836
240,566,2770,3082
241,156,398,2197
242,2593,2935,2983
243,1560,1155,939
244,358,79,2140
245,2558,393,858
246,2620,28,559
247,3019,3047,1929
248,740,2197,126
249,3126,1925,2770
250,549,30,818
251,470,1697,1058
252,562,2970,1068
253,2549,2253,2273
254,2168,920,48
255,255,950,1529
256,639,659,1016
257,1022,1267,384
258,1452,2915,2208
259,818,1679,145
260,1552,2392,3066
261,965,2688,272
262,2978,3174,1051
263,470,1687,2411
264,1601,28,1245
265,289,2549,3164
266,1686,688,1377
267,30,1793,1327
268,639,2861,3197
269,1359,2122,1188
270,1432,1453,613
271,1916,740,920
272,1697,261,98
273,1601,914,1487
274,529,2633,274
275,659,613,1386
276,1487,3040,1687
277,2183,2978,2765
278,2758,1011,1838
279,1778,3066,57
280,2961,1068,789
281,1453,1126,2628
282,1562,1432,60
283,1130,2731,2786
284,287,1359,1828
285,1705,285,858
286,1487,818,1601
287,3024,2258,2312
288,566,1925,818
289,406,1349,2078
290,1244,60,1453
291,2183,1636,1773
292,1419,940,1453
293,559,2406,293
294,2042,2406,3203
295,1244,1487,1419
296,2628,2558,1453
297,1026,2608,2197
298,1601,659,2605
299,1487,1011,2253
300,688,1307,3200
301,1786,2042,2183
302,2392,688,1656
303,1051,1697,29
304,185,2241,1327
305,2392,1377,71
306,2437,2231,1359
307,307,2781,2662
308,1011,3130,1687
309,2578,2983,1926
310,1393,1773,1621
311,261,542,2837
312,156,2670,89
313,1925,2152,35
314,2770,1641,3197
315,156,62,89
316,1615,1656,1550
317,2894,1245,1394
318,564,1188,318
319,2042,2183,1636
320,2628,1453,2362
321,2483,1244,3104
322,1487,1130,3164
323,474,2956,212
324,3020,2458,92
325,2231,1636,2183
326,3040,523,1244
327,1190,419,327
328,2523,2501,829
329,2894,2152,1881
330,1773,995,566
331,2152,740,2894
332,1394,3236,2894
333,1688,0,685
334,2183,2861,2765
335,1051,1697,2970
336,2983,1885,1926
337,1809,1541,2091
338,1990,137,452
339,1697,1552,1386
340,3170,470,145
341,1475,2,1772
342,102,2521,1630
343,1800,337,2786
344,2122,2409,995
345,2122,2578,2935
346,1929,639,388
347,1475,1053,3082
348,1885,2122,2983
349,1813,2417,156
350,28,740,2373
351,1550,337,193
352,289,1687,1487
353,185,1885,57
354,1773,2044,1126
355,1016,470,1051
356,1679,2549,1687
357,2521,1453,740
358,244,2122,1800
359,2731,1130,1601
360,3005,1773,1934
361,408,549,1687
362,471,2362,1359
363,2861,3047,2183
364,1881,2894,57
365,156,89,2608
366,940,1453,60
367,1377,2123,1615
368,1327,1601,958
369,1188,2961,2935
370,1051,2608,29
371,2273,1885,1772
372,858,1778,3066
373,914,2392,2822
374,2608,29,2168
375,2411,1641,2850
376,1615,1051,2123
377,60,1453,740
378,2608,1615,29
379,790,2605,1636
380,1051,3191,48
381,2629,1813,529
382,1822,1453,740
383,2264,940,1245
384,2274,3146,1696
385,1327,2152,789
386,1934,2437,3070
387,1904,760,1768
388,2115,2849,2319
389,2231,3019,659
390,3197,3206,1011
391,3110,391,3244
392,1393,1122,1630
393,2927,1665,508
394,3208,3140,2472
395,395,3244,2
396,920,396,2241
397,559,2970,3174
398,436,526,2471
399,3066,62,1778
400,613,3209,1828
401,1130,1679,2593
402,688,193,470
403,470,2411,193
404,471,404,1800
405,1773,1307,1393
406,289,1679,1267
407,741,645,1463
408,1074,2180,43
409,3094,1621,3126
410,2786,2389,1550
411,3083,3191,1051
412,813,289,1267
413,2411,470,2515
414,414,2458,62
415,1656,328,1222
416,2628,3203,1419
417,3094,2825,3126
418,740,2197,2958
419,1696,956,1425
420,2861,1772,3104
421,1377,2164,1552
422,106,3197,2122
423,3236,337,1130
424,1306,156,2958
425,2231,1359,1067
426,426,2595,550
427,1245,858,2264
428,71,2483,1926
429,1394,2894,442
430,613,1205,1453
431,2786,1307,1773
432,740,1453,2958
433,1011,337,1267
434,2670,78,2261
435,388,2992,818
436,132,398,2707
437,106,2837,1267
438,3137,3046,789
439,439,1621,2629
440,2978,1223,2373
441,549,1885,48
442,167,661,2567
443,1359,1386,2253
444,444,3164,1464
445,2392,46,1687
446,123,2989,542
447,2989,1786,1916
448,1615,1550,1656
449,1687,1487,1011
450,2152,1800,2894
451,789,1881,3122
452,1552,145,338
453,2670,2261,2825
454,2578,1885,2983
455,28,2168,30
456,2373,1432,3028
457,3033,1916,29
458,3082,786,479
459,1796,479,2168
460,2231,2183,1636
461,2731,1130,1679
462,1188,2578,1245
463,328,2183,2935
464,2044,470,566
465,62,1686,2483
466,3019,1772,549
467,2521,740,3082
468,1188,2861,2362
469,3061,1756,2970
470,251,1159,727
471,362,1264,2402
472,2483,1687,3191
473,3209,3126,337
474,323,1439,566
475,1800,2122,2628
476,1822,1126,2261
477,2373,3126,3094
478,1833,442,2122
479,1098,1046,3012
480,480,671,3066
481,2629,3126,1223
482,2894,1245,201
483,2978,3197,2628
484,2438,102,1026
485,2731,485,2530
486,2042,2122,3203
487,688,2197,1550
488,1472,488,1564
489,1615,559,2970
490,1679,1427,337
491,1453,740,3122
492,1464,110,492
493,1130,2593,3236
494,3019,1253,2
495,2122,2983,442
496,2122,1359,1800
497,2122,2458,1359
498,1487,289,2958
499,57,1051,3174
500,1475,1053,920
501,1487,28,3069
502,1267,1838,2549
503,1929,828,145
504,504,896,1778
505,193,1550,337
506,48,2961,2822
507,193,2837,470
508,393,790,2373
509,3244,243,3122
510,562,132,1601
511,132,1058,393
512,2362,1359,337
513,2894,388,1394
514,2197,2438,688
515,1359,2122,337
516,1472,3239,2458
517,1697,3061,98
518,750,3166,3206
519,3061,2197,2438
520,1925,1833,2786
521,1656,35,789
522,2362,2620,562
523,1851,2646,3119
524,1487,3040,2770
525,3047,1615,1881
526,2670,3218,540
527,3166,2992,1916
528,2593,813,2983
529,1567,381,2501
530,2417,1126,2628
531,1016,818,2411
532,1550,1697,1377
533,3206,1772,1929
534,2578,1267,2989
535,3005,1934,3070
536,2932,30,132
537,1833,3236,1925
538,1925,2241,828
539,2123,1773,2044
540,554,846,1354
541,1697,2392,1656
542,956,965,2798
543,1058,790,2628
544,33,62,2924
545,559,1756,2620
546,2983,1386,2935
547,2970,914,3155
548,2970,132,1697
549,202,868,26
550,2595,550,148
551,1487,1130,2770
552,33,2152,442
553,1822,2261,3126
554,540,958,2670
555,1550,1929,1793
556,1697,3170,470
557,2483,148,2123
558,789,1656,1615
559,746,1600,115
560,1793,1130,789
561,1244,1687,1011
562,747,1486,252
563,2620,2935,81
564,1364,1856,3097
565,2241,2894,1833
566,2157,2520,2614
567,470,1058,2044
568,3019,2152,639
569,2483,1687,3191
570,148,62,566
571,2042,2164,2122
572,3206,1267,289
573,1126,89,786
574,1016,818,3104
575,2122,2042,337
576,2122,2042,2593
577,2168,1067,1796
578,578,323,123
579,2123,540,1686
580,78,62,1813
581,1778,1253,2392
582,740,3082,2152
583,1550,337,790
584,407,2758,584
585,3236,566,1833
586,3094,470,562
587,2521,3082,3070
588,688,1686,1656
589,1687,2716,818
590,2628,1058,1786
591,688,2628,3236
592,659,1828,2123
593,60,914,2197
594,1011,3082,3197
595,3239,2253,2123
596,1552,3094,596
597,958,2197,1058
598,3236,542,740
599,29,599,132
600,2716,1051,1016
601,1487,3040,2264
602,1926,1885,71
603,287,659,3221
604,688,193,1550
605,564,3083,3071
606,606,2731,828
607,1377,1926,2483
608,1356,193,1550
609,35,659,1327
